shop_name,shop_id
Daily Mart,0
All-Day Supplies Shop,1
Daily Life Market,2
Neat Necessities Store,3
Ready-to-Go Shop,4
Practical Picks Store,5
The Daily Basket,6
Routine Retail Hub,7
Standard Goods Depot,8
The Daily Grind Store,9
Household Harmony Shop,10
Everyday Oasis Mart,11
Familiar Finds Emporium,12
The Daily Fix Store,13
Everyday Treasures Shop,14
Voyager's Haven Travel Store,15
Little Sprouts Baby Emporium,16
Handyman's Workshop,17
Creative Canvas Art Supplies,18
Gadget Guru Electronics Store,19
Scholar's Choice School Supplies,20
Green Thumb Gardening Shop,21
Celebrate It Party Supplies,22
Outdoor Explorer,23
FitLife Fitness Gear Emporium,24
Home Theatre Hub,25
Culinary Creations,26
Safety First Depot,27
Gemstone Boutique,28
Crafted Wonders,29
My Travels,30
Bambino's World Babies,31
Fix-It Solutions,32
Adventure Gears,33
Miller's Voyage Haven,34
Lily's Tot Spot,35
Jackson's Handy Mart,36
Emily's Creative Corner,37
My Gadget World,38
Chloe's Book Nook,39
Ethan's Garden Oasis,40
Olivia's Party Central,41
Nate's Outdoor Gear,42
Fit Finds,43
Mason's Entertainment Hub,44
Sophia's Cookhouse,45
Liam & Lily's Bath Haven,46
Mia's Emergency Depot,47
Oliver & Olivia's Jewels,48
Aria's Craft Den,49
Lucas's Traveler's Cache,50
Emma's Baby Boutique,51
Leo's Tool Shed,52
Isabella's Art Emporium,53
Artistic Haven,54
Max Tech Hub,55
Learning Corner,56
Party Haven,57
Nate's Outdoor Oasis,58
Zoe's Active Attire,59
